Type,Sex,Speaker,Vowel,IPA,F0,F1,F2,F3
m,m,32,ih,\ic,131,350,2130,2610
m,m,32,eh,\ef,133,574,1840,2260
m,m,32,eh,\ef,133,563,1960,2450
m,m,32,ae,\ae,125,650,1738,2400
m,m,32,ae,\ae,130,663,1820,2400
m,m,32,ah,\vt,137,600,1370,2180
m,m,32,ah,\vt,125,625,1312,2250
m,m,32,aa,\as,133,735,1070,2100
m,m,32,aa,\as,117,713,1180,2200
m,m,32,ao,\ct,125,625,875,2180
m,m,32,ao,\ct,115,700,1000,2250
m,m,32,uh,\hs,150,420,1100,2000
m,m,32,uh,\hs,140,420,1120,2100
m,m,32,uw,u,125,350,980,2200
m,m,32,uw,u,133,320,918,2100
m,m,32,er,\er\hr,143,554,1480,1800
m,m,32,er,\er\hr,128,484,1505,1890
m,m,33,iy,i,143,286,2415,2860
m,m,33,iy,i,150,300,2415,2860
m,m,33,ih,\ic,140,400,1980,2500
m,m,33,ih,\ic,145,407,2095,2620
m,m,33,eh,\ef,125,525,1988,2610
m,m,33,eh,\ef,144,553,1935,2530
m,m,33,ae,\ae,133,640,1773,2490
m,m,33,ae,\ae,133,640,1840,2560
m,m,33,ah,\vt,143,672,1272,2640
m,m,33,ah,\vt,146,658,1241,2560
m,m,33,aa,\as,130,780,1170,2640
m,m,33,aa,\as,131,788,1115,2645
m,m,33,ao,\ct,138,633,891,2500
m,m,33,ao,\ct,150,600,935,2550
m,m,33,uh,\hs,175,490,1102,2420
m,m,33,uh,\hs,154,492,1077,2306
m,m,33,uw,u,160,320,960,2240
m,m,33,uw,u,160,320,960,2290
m,m,33,er,\er\hr,143,543,1310,1643
m,m,33,er,\er\hr,145,508,1309,1600
w,f,34,iy,i,230,370,2670,3100
w,f,34,iy,i,234,390,2760,3060
w,f,34,ih,\ic,234,468,2330,2930
w,f,34,ih,\ic,205,410,2380,2950
w,f,34,eh,\ef,190,550,2200,2880
w,f,34,eh,\ef,191,570,2100,3040
w,f,34,ae,\ae,200,800,1980,2810
w,f,34,ae,\ae,192,860,1920,2850
w,f,34,ah,\vt,227,635,1200,3250
w,f,34,ah,\vt,200,700,1200,3100
w,f,34,aa,\as,210,880,1240,2870
w,f,34,aa,\as,188,830,1200,2880
w,f,34,ao,\ct,207,570,830,3300
w,f,34,ao,\ct,200,700,1000,3130
w,f,34,uh,\hs,240,410,940,3040
w,f,34,uh,\hs,225,450,970,3190
w,f,34,uw,u,238,480,955,2960
w,f,34,uw,u,208,395,810,2900
w,f,34,er,\er\hr,200,500,1850,2100
w,f,34,er,\er\hr,200,560,1750,2100
w,f,35,iy,i,225,270,2760,3550
w,f,35,iy,i,240,290,2700,3350
w,f,35,ih,\ic,245,460,2500,3220
w,f,35,ih,\ic,220,410,2400,3240
w,f,35,eh,\ef,220,620,2300,3200
w,f,35,eh,\ef,210,630,2300,3170
w,f,35,ae,\ae,220,820,2180,2850
w,f,35,ae,\ae,195,740,2120,3070
w,f,35,ah,\vt,240,800,1300,2900
w,f,35,ah,\vt,225,760,1400,2830
w,f,35,aa,\as,214,850,1120,2620
w,f,35,aa,\as,190,880,1220,2850
w,f,35,ao,\ct,228,460,900,2830
w,f,35,ao,\ct,222,440,880,2850
w,f,35,uh,\hs,250,500,1040,2750
w,f,35,uh,\hs,245,490,1000,2720
w,f,35,uw,u,250,400,940,2720
w,f,35,uw,u,245,410,860,2700
w,f,35,er,\er\hr,225,440,1560,1750
w,f,35,er,\er\hr,210,420,1600,1750
w,f,36,iy,i,210,290,2700,3020
w,f,36,iy,i,215,280,2630,3240
w,f,36,ih,\ic,211,420,2300,2950
w,f,36,ih,\ic,211,420,2220,2980
w,f,36,eh,\ef,207,640,2120,2900
w,f,36,eh,\ef,221,700,2000,2900
w,f,36,ae,\ae,212,1000,1830,2820
w,f,36,ae,\ae,204,980,1800,2820
w,f,36,ah,\vt,205,780,1410,2720
w,f,36,ah,\vt,208,710,1450,2750
w,f,36,aa,\as,205,950,1280,2600
w,f,36,aa,\as,210,870,1260,2740
w,f,36,ao,\ct,203,610,900,2710
w,f,36,ao,\ct,210,630,840,2700
w,f,36,uh,\hs,211,440,1050,2780
w,f,36,uh,\hs,210,420,1050,2740
w,f,36,uw,u,222,380,860,2500
w,f,36,uw,u,208,330,750,2740
w,f,36,er,\er\hr,208,580,1450,1720
w,f,36,er,\er\hr,212,540,1560,1900
w,f,37,iy,i,210,294,2800,3100
w,f,37,iy,i,222,270,2880,3160
w,f,37,ih,\ic,202,420,2430,3030
w,f,37,ih,\ic,212,420,2370,2930
w,f,37,eh,\ef,200,580,2180,2770
w,f,37,eh,\ef,217,540,2160,2770
w,f,37,ae,\ae,200,820,1970,2620
w,f,37,ae,\ae,210,840,2000,2700
w,f,37,ah,\vt,208,690,1200,2900
w,f,37,ah,\vt,201,666,1206,2900
w,f,37,aa,\as,200,800,1200,2920
w,f,37,aa,\as,190,760,1140,2850
w,f,37,ao,\ct,200,560,760,2800
w,f,37,ao,\ct,207,560,770,3000
w,f,37,uh,\hs,215,430,1075,2580
w,f,37,uh,\hs,213,430,1000,2700
w,f,37,uw,u,220,330,840,2550
w,f,37,uw,u,213,280,850,2500
w,f,37,er,\er\hr,205,430,1800,1930
w,f,37,er,\er\hr,200,420,1740,1960
w,f,38,iy,i,175,350,2800,3160
w,f,38,iy,i,187,338,2870,3300
w,f,38,ih,\ic,200,400,2540,3200
w,f,38,ih,\ic,210,420,2680,3000
w,f,38,eh,\ef,180,518,2470,3200
w,f,38,eh,\ef,200,600,2400,3150
w,f,38,ae,\ae,171,773,2000,2870
w,f,38,ae,\ae,175,875,2100,2970
w,f,38,ah,\vt,183,733,1468,2700
w,f,38,ah,\vt,200,740,1280,2900
w,f,38,aa,\as,178,730,1210,2740
w,f,38,aa,\as,175,735,1220,2850
w,f,38,ao,\ct,160,560,960,2850
w,f,38,ao,\ct,192,536,850,2850
w,f,38,uh,\hs,212,424,1040,2780
w,f,38,uh,\hs,200,520,1060,2670
w,f,38,uw,u,190,380,770,2900
w,f,38,uw,u,187,340,750,2780
w,f,38,er,\er\hr,177,490,2120,2480
w,f,38,er,\er\hr,197,493,1930,2300
w,f,39,iy,i,250,325,2700,3100
w,f,39,iy,i,225,310,2750,3225
w,f,39,ih,\ic,214,350,2580,3000
w,f,39,ih,\ic,267,390,2700,3200
w,f,39,eh,\ef,233,560,2330,2800
w,f,39,eh,\ef,200,520,2500,3000
w,f,39,ae,\ae,171,806,1970,2600
w,f,39,ae,\ae,150,825,1860,2550
w,f,39,ah,\vt,186,708,1485,2760
w,f,39,ah,\vt,188,676,1500,2590
w,f,39,aa,\as,200,800,1200,2800
w,f,39,aa,\as,205,714,1154,2850
w,f,39,ao,\ct,267,530,800,2780
w,f,39,ao,\ct,180,485,810,2750
w,f,39,uh,\hs,214,450,1460,2550
w,f,39,uh,\hs,233,467,1400,2450
w,f,39,uw,u,225,450,1080,2350
w,f,39,uw,u,200,400,1000,2400
w,f,39,er,\er\hr,193,524,1700,2130
w,f,39,er,\er\hr,180,507,1800,2380
w,f,40,iy,i,200,300,3100,3400
w,f,40,iy,i,216,300,3100,3500
w,f,40,ih,\ic,214,428,2570,3000
w,f,40,ih,\ic,220,440,2640,3080
w,f,40,eh,\ef,210,528,2540,3170
w,f,40,eh,\ef,210,504,2520,3200
w,f,40,ae,\ae,187,940,2250,2760
w,f,40,ae,\ae,200,820,2200,2920
w,f,40,ah,\vt,204,816,1450,2700
w,f,40,ah,\vt,214,858,1500,2700
w,f,40,aa,\as,200,960,1280,3000
w,f,40,aa,\as,180,1040,1300,3000
w,f,40,ao,\ct,220,520,880,2500
w,f,40,ao,\ct,217,574,890,2510
w,f,40,uh,\hs,233,466,1330,2750
w,f,40,uh,\hs,233,466,1165,2800
w,f,40,uw,u,180,300,850,2800
w,f,40,uw,u,175,350,840,2750
w,f,40,er,\er\hr,216,432,1790,2060
w,f,40,er,\er\hr,219,360,1900,2320
w,f,41,iy,i,225,337,2700,3300
w,f,41,iy,i,233,340,2720,3200
w,f,41,ih,\ic,237,474,2370,3095
w,f,41,ih,\ic,237,475,2400,3090
w,f,41,eh,\ef,229,526,2360,3090
w,f,41,eh,\ef,233,580,2360,3150
w,f,41,ae,\ae,230,690,2185,2990
w,f,41,ae,\ae,220,660,2200,3020
w,f,41,ah,\vt,225,675,1551,2923
w,f,41,ah,\vt,233,690,1630,2900
w,f,41,aa,\as,222,845,1334,2890
w,f,41,aa,\as,233,888,1290,2800
w,f,41,ao,\ct,225,631,923,2250
w,f,41,ao,\ct,233,543,980,2300
w,f,41,uh,\hs,233,537,1360,2920
w,f,41,uh,\hs,240,480,1345,2680
w,f,41,uw,u,235,400,1180,2760
w,f,41,uw,u,233,396,1120,2560
w,f,41,er,\er\hr,225,450,1640,2250
w,f,41,er,\er\hr,233,489,1630,2090
w,f,42,iy,i,225,225,2760,3900
w,f,42,iy,i,230,230,2850,3800
w,f,42,ih,\ic,238,429,2560,3200
w,f,42,ih,\ic,230,430,2575,3100
w,f,42,eh,\ef,214,579,2570,3300
w,f,42,eh,\ef,214,536,2570,3100
w,f,42,ae,\ae,205,823,2220,2870
w,f,42,ae,\ae,200,800,2100,2900
w,f,42,ah,\vt,250,750,1500,2750
w,f,42,ah,\vt,217,738,1300,2820
w,f,42,aa,\as,200,840,1300,3100
w,f,42,aa,\as,206,990,1340,3100
w,f,42,ao,\ct,214,579,856,2790
w,f,42,ao,\ct,205,545,905,2750
w,f,42,uh,\hs,233,490,1220,2610
w,f,42,uh,\hs,250,513,1500,2650
w,f,42,uw,u,250,400,1250,2500
w,f,42,uw,u,225,405,1080,2500
w,f,42,er,\er\hr,233,466,1860,2260
w,f,42,er,\er\hr,225,540,1780,2220
w,f,43,iy,i,240,290,3000,3840
w,f,43,iy,i,250,325,2900,3500
w,f,43,ih,\ic,250,500,2370,3120
w,f,43,ih,\ic,238,476,2380,3090
w,f,43,eh,\ef,238,760,2380,3205
w,f,43,eh,\ef,233,746,2290,3030
w,f,43,ae,\ae,206,1008,1990,2870
w,f,43,ae,\ae,200,1040,2000,2800
w,f,43,ah,\vt,220,830,1540,2860
w,f,43,ah,\vt,237,900,1510,2840
w,f,43,aa,\as,206,970,1343,3018
w,f,43,aa,\as,236,592,1230,2600
w,f,43,ao,\ct,233,650,900,2920
w,f,43,ao,\ct,229,687,1060,2780
w,f,43,uh,\hs,233,512,1211,2630
w,f,43,uh,\hs,233,467,1167,2595
w,f,43,uw,u,250,450,875,2750
w,f,43,uw,u,233,420,935,2710
w,f,43,er,\er\hr,230,622,1750,2070
w,f,43,er,\er\hr,225,652,1710,2043
w,f,44,iy,i,255,275,2800,3310
w,f,44,iy,i,245,245,2800,3300
w,f,44,ih,\ic,267,534,2500,3250
w,f,44,ih,\ic,264,528,2640,3370
w,f,44,eh,\ef,238,700,2380,3250
w,f,44,eh,\ef,250,750,2480,3000
w,f,44,ae,\ae,237,1020,1900,2960
w,f,44,ae,\ae,233,1005,2050,2870
w,f,44,ah,\vt,263,750,1500,2850
w,f,44,ah,\vt,250,850,1400,2750
w,f,44,aa,\as,258,978,1290,2840
w,f,44,aa,\as,246,935,1230,2730
w,f,44,ao,\ct,250,500,750,2750
w,f,44,ao,\ct,243,632,850,2850
w,f,44,uh,\hs,250,350,1170,2750
w,f,44,uh,\hs,266,450,1000,2800
w,f,44,uw,u,256,358,640,2560
w,f,44,uw,u,250,300,750,2500
w,f,44,er,\er\hr,260,520,1560,1820
w,f,44,er,\er\hr,250,500,1500,1750
w,f,45,iy,i,236,236,2790,3760
w,f,45,iy,i,242,242,2770,3800
w,f,45,ih,\ic,222,444,2555,3110
w,f,45,ih,\ic,242,420,2700,3120
w,f,45,eh,\ef,226,634,2325,2940
w,f,45,eh,\ef,225,608,2475,3100
w,f,45,ae,\ae,210,1010,2060,2900
w,f,45,ae,\ae,200,980,2160,2920
w,f,45,ah,\vt,217,818,1450,2500
w,f,45,ah,\vt,200,750,1280,2650
w,f,45,aa,\as,220,820,1200,2640
w,f,45,aa,\as,210,900,1120,2900
w,f,45,ao,\ct,220,440,749,2640
w,f,45,ao,\ct,210,567,752,2600
w,f,45,uh,\hs,204,460,1045,2504
w,f,45,uh,\hs,240,480,1105,2400
w,f,45,uw,u,250,420,1000,2500
w,f,45,uw,u,275,350,1100,2400
w,f,45,er,\er\hr,217,487,1500,1780
w,f,45,er,\er\hr,206,467,1420,1640
w,f,46,iy,i,225,360,2920,3400
w,f,46,iy,i,233,340,2840,3300
w,f,46,ih,\ic,257,514,2570,3070
w,f,46,ih,\ic,238,500,2680,3260
w,f,46,eh,\ef,238,650,2495,3090
w,f,46,eh,\ef,216,650,2380,3030
w,f,46,ae,\ae,225,1020,2030,2700
w,f,46,ae,\ae,225,1000,2200,2770
w,f,46,ah,\vt,225,788,1462,2920
w,f,46,ah,\vt,217,736,1500,2900
w,f,46,aa,\as,214,987,1330,2830
w,f,46,aa,\as,214,1009,1415,3080
w,f,46,ao,\ct,226,672,1084,2495
w,f,46,ao,\ct,209,627,1045,2504
w,f,46,uh,\hs,250,500,1200,2450
w,f,46,uh,\hs,230,460,1150,2880
w,f,46,uw,u,267,420,990,2860
w,f,46,uw,u,190,380,893,2920
w,f,46,er,\er\hr,246,610,1630,2020
w,f,46,er,\er\hr,225,585,1700,1850
w,f,47,iy,i,285,285,2900,3500
w,f,47,iy,i,286,310,2900,3400
w,f,47,ih,\ic,297,480,2670,3260
w,f,47,ih,\ic,220,440,2620,3380
w,f,47,eh,\ef,173,550,2370,3140
w,f,47,eh,\ef,260,520,2340,3040
w,f,47,ae,\ae,167,790,2180,3020
w,f,47,ae,\ae,280,840,2160,3020
w,f,47,ah,\vt,280,840,1400,2750
w,f,47,ah,\vt,270,760,1330,2950
w,f,47,aa,\as,252,900,1290,2750
w,f,47,aa,\as,260,900,1240,3110
w,f,47,ao,\ct,175,700,1050,2750
w,f,47,ao,\ct,190,720,1080,3030
w,f,47,uh,\hs,286,540,1200,2860
w,f,47,uh,\hs,205,570,1200,2970
w,f,47,uw,u,328,400,980,2630
w,f,47,uw,u,290,440,990,2900
w,f,47,er,\er\hr,286,570,2000,2480
w,f,47,er,\er\hr,260,510,1850,2350
w,f,48,iy,i,170,340,2750,3120
w,f,48,iy,i,238,360,2760,3120
w,f,48,ih,\ic,167,480,2390,2950
w,f,48,ih,\ic,194,520,2450,3000
w,f,48,eh,\ef,220,620,2520,2920
w,f,48,eh,\ef,222,620,2440,2880
w,f,48,ae,\ae,222,1110,2160,2700
w,f,48,ae,\ae,214,1070,1960,2750
w,f,48,ah,\vt,217,820,1240,2600
w,f,48,ah,\vt,216,860,1300,2670
w,f,48,aa,\as,150,840,1110,2930
w,f,48,aa,\as,170,850,1120,2850
w,f,48,ao,\ct,200,500,700,2930
w,f,48,ao,\ct,212,380,720,2700
w,f,48,uh,\hs,235,400,940,2820
w,f,48,uh,\hs,214,380,860,2680
w,f,48,uw,u,196,330,760,2870
w,f,48,uw,u,188,350,710,2760
w,f,48,er,\er\hr,182,550,1780,2080
w,f,48,er,\er\hr,201,600,1750,2000
w,f,49,iy,i,200,320,2360,2980
w,f,49,iy,i,203,304,2380,3050
w,f,49,ih,\ic,211,444,2220,2740
w,f,49,ih,\ic,210,420,2090,2780
w,f,49,eh,\ef,200,500,2350,2830
w,f,49,eh,\ef,200,600,2200,2700
w,f,49,ae,\ae,192,845,1700,2300
w,f,49,ae,\ae,187,860,1724,2530
w,f,49,ah,\vt,200,720,1440,2380
w,f,49,ah,\vt,191,707,1470,2440
w,f,49,aa,\as,200,700,1080,2420
w,f,49,aa,\as,192,767,1150,2590
w,f,49,ao,\ct,200,600,860,2410
w,f,49,ao,\ct,200,600,900,2400
w,f,49,uh,\hs,210,546,1090,2400
w,f,49,uh,\hs,210,462,1240,2310
w,f,49,uw,u,257,360,930,2260
w,f,49,uw,u,220,440,1100,2300
w,f,49,er,\er\hr,200,540,1400,1800
w,f,49,er,\er\hr,204,460,1350,1560
w,f,50,iy,i,203,406,2600,2945
w,f,50,iy,i,200,400,2600,3100
w,f,50,ih,\ic,200,460,2300,2800
w,f,50,ih,\ic,210,420,2305,2835
w,f,50,eh,\ef,190,570,2100,2720
w,f,50,eh,\ef,207,538,2175,2880
w,f,50,ae,\ae,189,850,1853,2685
w,f,50,ae,\ae,193,830,1800,2620
w,f,50,ah,\vt,200,720,1500,2560
w,f,50,ah,\vt,200,800,1400,2420
w,f,50,aa,\as,194,915,1280,2530
w,f,50,aa,\as,206,723,1196,2600
w,f,50,ao,\ct,192,575,1073,2490
w,f,50,ao,\ct,200,600,1100,2600
w,f,50,uh,\hs,202,520,1210,2420
w,f,50,uh,\hs,212,468,1275,2550
w,f,50,uw,u,207,370,1000,2470
w,f,50,uw,u,205,330,970,2460
w,f,50,er,\er\hr,200,560,1600,1900
w,f,50,er,\er\hr,206,514,1540,1955
w,f,51,iy,i,240,380,2880,3360
w,f,51,iy,i,250,380,2820,3300
w,f,51,ih,\ic,233,514,2600,2930
w,f,51,ih,\ic,237,473,2660,2970
w,f,51,eh,\ef,223,567,2460,3122
w,f,51,eh,\ef,224,521,2460,2920
w,f,51,ae,\ae,218,808,2070,2880
w,f,51,ae,\ae,203,678,2420,3080
w,f,51,ah,\vt,200,800,1340,2700
w,f,51,ah,\vt,214,772,1280,2660
w,f,51,aa,\as,183,843,1190,2860
w,f,51,aa,\as,205,740,1160,2780
w,f,51,ao,\ct,222,623,1022,2700
w,f,51,ao,\ct,220,594,990,2640
w,f,51,uh,\hs,240,480,960,2820
w,f,51,uh,\hs,242,484,900,2640
w,f,51,uw,u,233,370,933,2520
w,f,51,uw,u,250,325,750,2500
w,f,51,er,\er\hr,225,450,1680,2050
w,f,51,er,\er\hr,233,466,1630,1865
w,f,52,iy,i,200,320,2750,3100
w,f,52,iy,i,178,356,2755,3200
w,f,52,ih,\ic,194,388,2622,3050
w,f,52,ih,\ic,194,426,2460,3040
w,f,52,eh,\ef,187,592,2242,2765
w,f,52,eh,\ef,191,535,2290,2870
w,f,52,ae,\ae,188,750,2060,2770
w,f,52,ae,\ae,162,650,2110,2618
w,f,52,ah,\vt,187,618,1518,2700
w,f,52,ah,\vt,183,624,1430,2660
w,f,52,aa,\as,163,766,1180,2340
w,f,52,aa,\as,167,750,1065,2640
w,f,52,ao,\ct,170,595,918,2600
w,f,52,ao,\ct,176,630,985,2630
w,f,52,uh,\hs,200,420,1200,2600
w,f,52,uh,\hs,200,460,1260,2640
w,f,52,uw,u,187,375,1124,2685
w,f,52,uw,u,188,375,1143,2700
w,f,52,er,\er\hr,180,504,1565,1835
w,f,52,er,\er\hr,183,513,1578,1830
w,f,53,iy,i,280,357,2800,3360
w,f,53,iy,i,275,340,2860,3350
w,f,53,ih,\ic,290,480,2600,3060
w,f,53,ih,\ic,292,465,2598,3060
w,f,53,eh,\ef,250,700,2350,2980
w,f,53,eh,\ef,240,737,2325,3100
w,f,53,ae,\ae,200,960,2100,3000
w,f,53,ae,\ae,217,1030,2200,3260
w,f,53,ah,\vt,275,920,1512,2950
w,f,53,ah,\vt,260,910,1688,3050
w,f,53,aa,\as,275,990,1237,2360
w,f,53,aa,\as,267,987,1172,3180
w,f,53,ao,\ct,267,587,1068,3270
w,f,53,ao,\ct,293,560,990,3150
w,f,53,uh,\hs,275,520,1350,3190
w,f,53,uh,\hs,280,510,1415,3130
w,f,53,uw,u,300,420,1045,3060
w,f,53,uw,u,300,390,960,3030
w,f,53,er,\er\hr,230,460,1860,2250
w,f,53,er,\er\hr,214,504,1820,2290
w,f,54,iy,i,200,240,2760,3700
w,f,54,iy,i,220,220,2850,3800
w,f,54,ih,\ic,228,319,2500,3020
w,f,54,ih,\ic,216,324,2500,3010
w,f,54,eh,\ef,220,616,2380,2900
w,f,54,eh,\ef,212,615,2300,2800
w,f,54,ae,\ae,212,710,2120,2600
w,f,54,ae,\ae,210,690,2250,2680
w,f,54,ah,\vt,221,800,1520,2380
w,f,54,ah,\vt,210,780,1470,2400
w,f,54,aa,\as,199,995,1392,2290
w,f,54,aa,\as,200,1000,1400,2440
w,f,54,ao,\ct,205,656,944,2250
w,f,54,ao,\ct,200,720,960,2380
w,f,54,uh,\hs,223,335,1049,2470
w,f,54,uh,\hs,210,420,1009,2300
w,f,54,uw,u,219,329,877,2550
w,f,54,uw,u,230,340,900,2530
w,f,54,er,\er\hr,206,400,1380,1560
w,f,54,er,\er\hr,201,400,1240,1480
w,f,55,iy,i,220,286,2800,3550
w,f,55,iy,i,241,289,2800,3400
w,f,55,ih,\ic,225,383,2420,3080
w,f,55,ih,\ic,240,384,2400,3050
w,f,55,eh,\ef,209,418,2430,3110
w,f,55,eh,\ef,230,460,2300,3050
w,f,55,ae,\ae,187,861,2100,2800
w,f,55,ae,\ae,224,896,2040,3000
w,f,55,ah,\vt,218,654,1160,2800
w,f,55,ah,\vt,230,690,1195,2770
w,f,55,aa,\as,208,860,1103,2700
w,f,55,aa,\as,212,806,1060,2850
w,f,55,ao,\ct,202,606,910,2900
w,f,55,ao,\ct,201,583,860,2840
w,f,55,uh,\hs,225,340,900,2650
w,f,55,uh,\hs,235,470,1100,2560
w,f,55,uw,u,205,308,1025,2650
w,f,55,uw,u,235,329,1151,2560
w,f,55,er,\er\hr,213,533,1425,1830
w,f,55,er,\er\hr,214,535,1412,1800
w,f,56,iy,i,236,307,2670,3150
w,f,56,iy,i,245,340,2700,3250
w,f,56,ih,\ic,231,417,2300,3000
w,f,56,ih,\ic,239,410,2200,2910
w,f,56,eh,\ef,222,644,2250,3000
w,f,56,eh,\ef,224,670,2300,2880
w,f,56,ae,\ae,224,784,1800,2750
w,f,56,ae,\ae,234,820,1750,2890
w,f,56,ah,\vt,225,765,1300,2700
w,f,56,ah,\vt,221,730,1390,2790
w,f,56,aa,\as,225,834,1282,2800
w,f,56,aa,\as,212,850,1270,2760
w,f,56,ao,\ct,229,688,1029,2750
w,f,56,ao,\ct,222,670,1040,2640
w,f,56,uh,\hs,251,427,1506,2640
w,f,56,uh,\hs,240,460,1370,2610
w,f,56,uw,u,236,378,1416,2580
w,f,56,uw,u,239,380,1430,2610
w,f,56,er,\er\hr,230,460,1200,1909
w,f,56,er,\er\hr,225,410,1580,1800
w,f,57,iy,i,256,384,2860,3210
w,f,57,iy,i,250,375,3000,3400
w,f,57,ih,\ic,230,460,2665,3140
w,f,57,ih,\ic,233,467,2680,3150
w,f,57,eh,\ef,229,640,2400,2860
w,f,57,eh,\ef,233,630,2530,3030
w,f,57,ae,\ae,233,700,2560,3150
w,f,57,ae,\ae,225,675,2510,3145
w,f,57,ah,\vt,240,768,1440,2855
w,f,57,ah,\vt,234,794,1447,2920
w,f,57,aa,\as,227,978,1362,2724
w,f,57,aa,\as,233,933,1350,2610
w,f,57,ao,\ct,240,700,1080,2810
w,f,57,ao,\ct,240,720,1090,2840
w,f,57,uh,\hs,243,500,1215,2870
w,f,57,uh,\hs,239,500,1240,2860
w,f,57,uw,u,263,470,1000,2820
w,f,57,uw,u,272,378,950,2990
w,f,57,er,\er\hr,243,480,1410,1700
w,f,57,er,\er\hr,243,493,1580,1775
w,f,58,iy,i,268,320,2900,3200
w,f,58,iy,i,263,290,2750,3050
w,f,58,ih,\ic,258,460,2380,2940
w,f,58,ih,\ic,251,480,2260,2980
w,f,58,eh,\ef,246,640,2220,2900
w,f,58,eh,\ef,250,670,2250,2960
w,f,58,ae,\ae,243,950,1970,2890
w,f,58,ae,\ae,244,980,1950,2920
w,f,58,ah,\vt,251,750,1280,2760
w,f,58,ah,\vt,258,770,1340,2800
w,f,58,aa,\as,250,950,1130,3160
w,f,58,aa,\as,256,850,1150,2940
w,f,58,ao,\ct,242,530,870,2680
w,f,58,ao,\ct,250,600,900,2770
w,f,58,uh,\hs,250,600,1225,2500
w,f,58,uh,\hs,264,630,1320,2560
w,f,58,uw,u,258,440,1290,2530
w,f,58,uw,u,269,460,1080,2640
w,f,58,er,\er\hr,250,600,1500,2000
w,f,58,er,\er\hr,254,610,1520,1950
w,f,59,iy,i,234,280,2690,3040
w,f,59,iy,i,261,280,2740,2980
w,f,59,ih,\ic,260,470,2500,3400
w,f,59,ih,\ic,262,440,2480,3240
w,f,59,eh,\ef,242,730,2300,3100
w,f,59,eh,\ef,260,750,2340,3120
w,f,59,ae,\ae,233,860,2070,2880
w,f,59,ae,\ae,240,890,1920,2710
w,f,59,ah,\vt,257,770,1540,2840
w,f,59,ah,\vt,257,800,1410,2860
w,f,59,aa,\as,240,790,1250,3080
w,f,59,aa,\as,241,820,1210,2960
w,f,59,ao,\ct,234,408,695,3040
w,f,59,ao,\ct,246,420,590,3100
w,f,59,uh,\hs,251,500,1230,2520
w,f,59,uh,\hs,256,480,1230,2750
w,f,59,uw,u,263,419,1050,2850
w,f,59,uw,u,278,390,1060,2800
w,f,59,er,\er\hr,220,420,1720,1900
w,f,59,er,\er\hr,255,510,1680,1890
w,f,60,iy,i,208,270,2820,3450
w,f,60,iy,i,225,250,2880,3350
w,f,60,ih,\ic,220,370,2530,3060
w,f,60,ih,\ic,250,400,2600,3120
w,f,60,eh,\ef,214,640,2360,3020
w,f,60,eh,\ef,219,650,2430,3040
w,f,60,ae,\ae,205,900,2090,3000
w,f,60,ae,\ae,200,860,2160,2870
w,f,60,ah,\vt,214,750,1540,2800
w,f,60,ah,\vt,214,770,1530,2780
w,f,60,aa,\as,195,920,1350,2550
w,f,60,aa,\as,210,920,1470,2690
w,f,60,ao,\ct,194,720,1110,2420
w,f,60,ao,\ct,200,700,1100,2780
w,f,60,uh,\hs,222,470,1200,2900
w,f,60,uh,\hs,237,470,1190,2800
w,f,60,uw,u,240,380,980,3100
w,f,60,uw,u,188,340,920,3050
w,f,60,er,\er\hr,222,530,1670,2050
w,f,60,er,\er\hr,200,500,1720,1900
w,f,61,iy,i,258,310,2740,3200
w,f,61,iy,i,262,262,2680,3170
w,f,61,ih,\ic,262,450,2310,3020
w,f,61,ih,\ic,263,472,2270,2950
w,f,61,eh,\ef,245,640,1980,2920
w,f,61,eh,\ef,235,700,2110,2940
w,f,61,ae,\ae,194,810,1860,2620
w,f,61,ae,\ae,234,890,1800,2700
w,f,61,ah,\vt,230,710,1340,2780
w,f,61,ah,\vt,245,740,1470,2940
w,f,61,aa,\as,225,830,1020,2650
w,f,61,aa,\as,219,830,1095,2610
w,f,61,ao,\ct,240,600,850,2760
w,f,61,ao,\ct,253,455,810,2750
w,f,61,uh,\hs,282,400,1070,2530
w,f,61,uh,\hs,250,450,1050,2450
w,f,61,uw,u,260,290,670,2380
w,f,61,uw,u,275,330,630,2460
w,f,61,er,\er\hr,240,500,1630,2040
w,f,61,er,\er\hr,243,490,1580,2190
c,f,62,iy,i,228,460,3300,3950
c,f,62,iy,i,200,400,3400,3850
c,f,62,ih,\ic,205,600,2550,4000
c,f,62,ih,\ic,205,610,2500,4100
c,f,62,eh,\ef,225,600,2750,3600
c,f,62,eh,\ef,210,760,2500,3850
c,f,62,ae,\ae,200,1000,2300,3900
c,f,62,ae,\ae,200,800,2500,4050
c,f,62,ah,\vt,200,1000,1750,3550
c,f,62,ah,\vt,223,1110,1690,4040
c,f,62,aa,\as,205,1220,1560,3650
c,f,62,aa,\as,200,1300,1800,3450
c,f,62,ao,\ct,219,660,1100,3850
c,f,62,ao,\ct,217,690,1090,3900
c,f,62,uh,\hs,206,620,1420,3700
c,f,62,uh,\hs,220,620,1410,3520
c,f,62,uw,u,233,440,900,3900
c,f,62,uw,u,200,400,650,3800
c,f,62,er,\er\hr,210,610,2300,2900
c,f,62,er,\er\hr,200,450,2150,2550
c,f,63,iy,i,290,320,3500,4260
c,f,63,iy,i,305,350,3400,4100
c,f,63,ih,\ic,322,640,3200,3660
c,f,63,ih,\ic,325,650,3000,3800
